label,δD,δP,δH,smiles,test,poly_label,n_copies,organic,n_electrons,n_atoms,charge,MolWt,n_frags,largest,finished,job_name,poly_smiles,homo,lumo,gap,d-moments,dipole,polar,run_time,n_cores,compute_time,Area,Hba,Hbd,Volume,sigma_mom_0,sigma_mom_1,sigma_mom_2,sigma_mom_3,sigma_mom_4,sigma_mom_5,sigma_norm,sigma_profile,δd_gp_pred,δd_gp_std,δp_gp_pred,δp_gp_std,δh_gp_pred,δh_gp_std
Polyacrylonitrile-n5,20,15.1,7.9,CCC#N,True,Polyacrylonitrile,5,True,110,45,0,275.4,1,True,True,SOLSPE2_Polyacrylonitrile-n5,[C@@H](C#N)(CCC#N)C[C@@H](C#N)C[C@H](C#N)CCC#N,-7.8790021184574,-1.12004782004305,6.75895429841435,[ 0.58302575 -8.49403297 -1.86749721],8.71642477866191,211.62387,468.596,4,1874.384,3.047,1.5386,0.2196,0.3427,0,175,26.1,154,51.4,165,66.7703457007675,"[ 0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.00062902  0.01350899  0.0447504   0.08342027
  0.15921739  0.28415309  0.38696819  0.39252455  0.311216    0.21750674
  0.1512348   0.1238424   0.11009378  0.08777849  0.09177727  0.10631965
  0.09990962  0.10775742  0.12128138  0.12766146  0.17756386  0.2345053
  0.2599058   0.24337151  0.19075834  0.16574723  0.14022692  0.09096853
  0.03615377  0.0026359   0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.        ]",17.8459702510849,0.680083773877374,10.798787429526,4.10729220627201,8.81571713664251,1.7282680224449
Polyethylene-n5,16.9,0.8,2.8,CC,True,Polyethylene,5,True,70,40,0,150.35,1,True,True,SOLSPE2_Polyethylene-n5,C(C)CCCCCCCC,-6.643387546107,1.18225304626735,7.82564059237435,[  2.54174623e-05  -3.81261934e-04  -7.62523869e-04],0.000852906419769,155.94154,212.117,4,848.468,2.3652,0,0,0.2325,0,6.079526,0.173827,0.301749,0.015514,0.018448,91.8817555557141,"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   5.11527013e-04   2.74483219e-02   1.63895432e-01
   3.84973054e-01   5.12833040e-01   4.86451306e-01   4.11703061e-01
   3.36573891e-01   1.97732400e-01   5.16533448e-02   4.46225692e-04
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]",17.7407009708218,0.402350768707365,0.654789164525572,1.18960754161066,4.56002255205809,1.73740990265075
Polypropylene-n5,18,0,1,CCC,True,Polypropylene,5,True,100,55,0,220.485,1,True,True,SOLSPE2_Polypropylene-n5,C(C[C@@H](C[C@H](C[C@H](CC(C)C)C)C)C)C,-6.53620190039505,0.90371730889555,7.4399192092906,[ 0.00302468  0.08883403 -0.14884466],0.17336483575187,234.69995,727.325,4,2909.3,2.978,0,0,0.3397,0,9.042064,0.279806,0.50747,0.024044,0.034376,112.132128107871,"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   2.18492241e-03   4.42513674e-02   1.94591866e-01
   4.10087642e-01   5.13100045e-01   4.49808640e-01   3.73559306e-01
   3.48891978e-01   2.43980030e-01   7.48402812e-02   4.63738635e-04
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]",17.9830147382498,0.574250363621046,1.29934300231722,1.03776126525449,4.53023160282155,3.57215264746485
Polystyrene-n5,18.7,5.9,3.5,CCc1ccccc1,True,Polystyrene,5,True,210,90,0,530.84,1,True,True,SOLSPE2_Polystyrene-n5,C(c1ccccc1)C[C@@H](c1ccccc1)C[C@H](c1ccccc1)C[C@H](c1ccccc1)C[C@@H](c1ccccc1)C,-5.62233474487585,-1.16832081712175,4.4540139277541,[ 1.16889826 -0.84472394  0.47657742],1.5188837043226,596.80852,2734.617,4,10938.468,5.0681,0.0023,0,0.7056,0,69.7,10.5,20.1,7.239795,8.328337,139.089066838483,"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   1.43792754e-04   1.78446808e-02
   1.13078622e-01   2.72695769e-01   3.66247335e-01   3.73206904e-01
   3.67627745e-01   3.43341149e-01   2.88412317e-01   2.45332008e-01
   2.42973806e-01   2.34252776e-01   2.04307935e-01   1.89641074e-01
   1.74413421e-01   1.30441597e-01   5.89406499e-02   1.22151945e-02
   5.01836712e-03   2.91180327e-03   7.04584496e-04   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]",18.8603529444719,0.664172202859826,6.90365327698579,1.8452728213761,4.81598237034533,2.5358202217518
Polyvinylchloride-n5,18.8,9.2,6.3,CCCl,True,Polyvinylchloride,5,True,100,40,0,322.575,1,True,True,SOLSPE2_Polyvinylchloride-n5,C[C@@H](Cl)C[C@@H](C[C@H](C[C@@H](CCCl)Cl)Cl)Cl,-6.8095402632223,-0.3038967482384,6.5056435149839,[-5.16594671  4.24870675 -3.03845428],7.34647662479924,209.21877,355.196,4,1420.784,2.9882,0,0,0.3388,0,57.2,-0.83263,16.4,-0.580348,5.479739,80.1359628444059,"[ 0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.          0.
  0.00165968  0.03611362  0.14757419  0.28835992  0.35646917  0.33174868
  0.25239604  0.17719884  0.16348465  0.17098441  0.17890844  0.20533852
  0.24867736  0.34195633  0.39038652  0.2900196   0.12487527  0.02272388
  0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.          0.
  0.        ]",17.8669369015666,0.834781166615846,8.52793956873671,2.1210784535337,6.09965074365137,2.3466407754399
DPP3T-n1,19.3,4.2,5.5,CCCCCCCCCC[C@H](CCCCCCCC)CN1C(=O)C2=C(c3cc4sc(-c5cccs5)cc4s3)N(C[C@@H](CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cc2sccc2s1,False,DPP3T,1,True,390,161,0,1055.749,1,True,True,SOLSPE2_DPP3T-n1,c1cc2c(s1)cc(s2)c1c2c(c(=O)n1C[C@H](CCCCCCCCCC)CCCCCCCC)c(n(c2=O)C[C@H](CCCCCCCCCC)CCCCCCCC)c1cc2c(s1)cc(s2)c1cccs1,-4.91521969296655,-3.3933141385051,1.52190555446145,[ 0.4242937  -0.2256054  -0.20913488],0.524080465847665,1356.23456,4667.586,4,18670.344,11.2985,1.2619,0.015,1.3436,0,118,15.4,80.2,38.5,91.9,368.782263118768,"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   3.52511531e-05   1.15786480e-03   5.62120310e-03
   1.56623585e-02   2.80788992e-02   3.42071766e-02   3.51589577e-02
   3.99910773e-02   4.72202753e-02   7.74115321e-02   1.95633053e-01
   3.71381744e-01   4.68034982e-01   4.53826056e-01   4.13515007e-01
   3.67276340e-01   2.52959563e-01   1.12337290e-01   3.98690541e-02
   1.95562551e-02   9.56662061e-03   6.12827738e-03   7.54374675e-03
   9.79982055e-03   1.36205032e-02   1.77475997e-02   1.46834611e-02
   5.37986828e-03   3.19972005e-04   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]",18.9739422205902,0.492758617892042,2.60170634785094,1.74332697342093,4.82999689647399,2.6112330428108
DPP5T-n1,19,3,2,CCCCCCCC[C@H](CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc(CCCCCC)c(-c5cccs5)s4)s3)N(C[C@H](CCCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(-c2cc(CCCCCC)cs2)s1,False,DPP5T,1,True,440,184,0,1177.96,1,True,True,SOLSPE2_DPP5T-n1,CCCCCCc1cc(sc1)c1ccc(s1)c1c2c(c(=O)n1C[C@H](CCCCCCCC)CCCCCC)c(n(c2=O)C[C@@H](CCCCCCCC)CCCCCCC)c1ccc(s1)c1cc(c(s1)c1cccs1)CCCCCC,-5.10303267258165,-3.3390002139453,1.76403245863635,[ 0.67602824 -1.06832136 -0.90435331],1.55440651645812,1409.66704,9382.736,4,37530.944,10.6139,1.6128,0,1.5141,0,117,33.6,80.9,62.9,98.7,337.761674174262,"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.11532778e-04
   3.75412635e-03   1.60882670e-02   3.37752945e-02   4.47652921e-02
   4.98398761e-02   6.14604959e-02   1.13115261e-01   2.43357984e-01
   4.01330318e-01   4.62704954e-01   4.30356702e-01   4.04172558e-01
   3.53568830e-01   2.29285931e-01   1.09867409e-01   5.06096497e-02
   2.56393803e-02   1.29884482e-02   8.18920621e-03   6.80953517e-03
   1.03060834e-02   1.92354565e-02   2.38067271e-02   1.78972348e-02
   7.64444340e-03   1.41519905e-03   1.18426699e-05   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]",18.9953560618863,0.437714011934569,4.0594149983906,1.75896589475791,3.65679881726789,2.45305426919492
MDMOPPV-n1,19.06,5.62,5.28,C=Cc1cc(OCC[C@@H](C)CCCC(C)C)ccc1OC,False,MDMOPPV,1,True,118,51,0,290.447,1,True,True,SOLSPE2_MDMOPPV-n1,c1cc(cc(c1OC)C=C)OCC[C@@H](C)CCCC(C)C,-4.7748905802637,-1.9969347032793,2.7779558769844,[-0.36006377 -0.06941509 -0.48450767],0.607628219032813,317.51428,1023.035,4,4092.14,3.6473,0.1232,0.0006,0.41,0,49.8,10,22.2,12,17.1,101.656770566451,"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   1.37718323e-04   4.32829016e-04
   1.45587942e-03   5.35134056e-03   1.52277118e-02   5.46151522e-02
   1.33055574e-01   1.87228061e-01   2.14181504e-01   3.00639100e-01
   4.17129127e-01   4.38849274e-01   3.66212696e-01   3.16240619e-01
   2.95681240e-01   2.31858634e-01   1.64416004e-01   1.38702026e-01
   1.07371107e-01   6.26323261e-02   4.08236459e-02   3.68101404e-02
   2.74649685e-02   1.52473858e-02   9.27631278e-03   5.34150354e-03
   1.53457560e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]",18.9824421104788,0.528456472844829,5.46465974188738,0.61736894106518,6.20888195493494,3.0229189792027
MEHPPV-n1,19.06,5.38,5.44,C=Cc1cccc(OC[C@@H](CC)CCCC)c1,False,MEHPPV,1,True,94,41,0,232.367,1,True,True,SOLSPE2_MEHPPV-n1,c1cc(cc(c1)C=C)OC[C@H](CCCC)CC,-5.3611326597809,-1.87968084509885,3.48145181468205,[-1.8923809  -0.75012015  0.41631262],2.07776368040083,261.57449,777.848,4,3111.392,3.0968,0.0238,0,0.3281,0,36.5,4.164815,12,4.275648,6.656485,87.3867576810125,"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   5.26395546e-04   9.41790292e-03   4.73641557e-02
   1.24423886e-01   1.86870419e-01   2.13842469e-01   2.88315995e-01
   3.97359977e-01   4.19491476e-01   3.63762209e-01   3.32853636e-01
   3.17576721e-01   2.52440994e-01   1.78093345e-01   1.53284094e-01
   1.26094620e-01   6.81338930e-02   2.64570979e-02   1.44072172e-02
   1.07796653e-02   7.12922663e-03   4.01662688e-03   1.04134771e-03
   1.14433814e-05   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00]",18.9872744672089,0.546067828035595,5.4414876358232,0.743013242954838,4.26748774631919,2.08986668900375
P3HT-n5,18.5,4.6,1.4,CCCCCCc1ccsc1,False,P3HT,5,True,310,135,0,841.525,1,True,True,SOLSPE2_P3HT-n5,c1cc(c(s1)c1sc(c(c1)CCCC[C]C)c1sc(c(c1)CCCC[C]C)c1sc(c(c1)CCCC[C]C)c1scc(c1)CCCC[C]C)CCCCCC,-4.0165637016903,-3.1782353510699,0.838328350620399,[-12.52338701   3.80545162  -1.39371571],13.1627933146148,1251.90699,6051.328,4,24205.312,9.2464,22.7618,0,1.0299,0,240,246,596,1250,2880,248.429784528748,"[  0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00
   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.17365241e-04
   3.39331293e-03   1.48130386e-02   3.87715186e-02   8.81416052e-02
   1.60170006e-01   2.33023589e-01   3.05559175e-01   3.70849253e-01
   4.05748450e-01   3.85940036e-01   3.09101423e-01   2.40305325e-01
   2.40047706e-01   2.64380538e-01   2.35156989e-01   1.50770972e-01
   6.86189864e-02   2.63816998e-02   1.37543894e-02   1.12788408e-02
   1.35370242e-02   1.28487009e-02   8.73486246e-03   6.60146288e-03
   7.32198840e-03   8.73083718e-03   1.01718882e-02   1.25951081e-02
   1.14841302e-02   7.87345206e-03   4.17824297e-03   4.21447051e-03
   9.31047783e-03   1.22610097e-02   9.95452298e-03   6.30359199e-03
   5.05575450e-03   3.44564160e-03   9.09713787e-04   0.00000000e+00
   0.00000000e+00]",18.4722907594702,0.559181122901616,6.10491858077484,2.80753014211495,5.50212286648413,3.71531350601801
